start date,end date,data source,R,t0,data points,lbs per degree,offset
2024-12-17,2024-12-18,temp,0.011099999999999987,14.5,-0.037460390496975214,51.739892359605854,482
2024-12-18,2024-12-19,temp,0.0027999999999999995,2.5,0.017427345958805643,49.121979751394264,576
2024-12-19,2024-12-20,temp,0.008699999999999989,10.0,-0.046480590499028834,52.249425187176726,570
2024-12-20,2024-12-21,temp,0.003199999999999999,-7.5,-0.12277800722996467,55.492784180565735,662
2024-12-21,2024-12-22,temp,0.006399999999999993,5.5,-0.06746497664904827,53.256403112952874,592
2024-12-22,2024-12-23,temp,0.0025,-0.5,-0.46695348151652966,75.80628907479932,267
2024-12-23,2024-12-24,temp,0.0025,14.5,-0.39963254779281465,79.68053786727108,100
2024-12-24,2024-12-25,temp,0.01489999999999998,5.0,-0.12257917088004547,56.13130005835547,591
2024-12-25,2024-12-26,temp,0.0025,-4.5,-0.23205531764768056,60.7919192924777,592
2024-12-26,2024-12-27,temp,0.0025,-2.0,-0.27777316187605655,62.80266574244281,584
2024-12-27,2024-12-28,temp,0.01439999999999998,-1.0,-0.04318695224881627,52.296153077249876,580
2024-12-28,2024-12-29,temp,0.01489999999999998,10.5,-0.03803048441276203,52.169475986145585,375
2024-12-29,2024-12-30,temp,0.0025,0.5,-409.6274784012421,22848.74192010976,22
2024-12-30,2024-12-31,temp,0.0025,14.5,-14.979253319164318,1085.9807221282736,216
2024-12-31,2025-01-01,temp,0.006499999999999994,-8.0,-0.06457219804700648,53.23347263226672,606
2025-01-01,2025-01-02,temp,0.0045999999999999965,-5.5,-0.13359076789093566,55.196645484956726,597
2025-01-02,2025-01-03,temp,0.006099999999999994,-1.0,-0.09288042752850227,53.834326068525364,613
2025-01-03,2025-01-04,temp,0.0025,-5.0,-0.7214351234325513,88.47789703899709,319
2025-01-04,2025-01-05,temp,0.0026,-1.0,-0.1958345783682304,59.73400450108076,603
2025-01-05,2025-01-06,temp,0.01489999999999998,14.5,-0.015494620904304575,50.79041603060829,621
2025-01-06,2025-01-07,temp,0.0026,-1.0,-0.14480174850984187,54.15421992167541,602
2025-01-07,2025-01-08,temp,0.010099999999999987,-2.0,-0.045341194518770486,51.45963040779507,619
